Código;Título;Autorxs;Org.;Tradução;Ano;Colecção;Volume;Editora;Local;Edição;Nº de Páginas;Ex. N.º;ISBN#;Formato;Etiquetas;Estatuto;Estado
0326/AGRABS;Mal-entendido em Moscovo;[Simone de Beauvoir];[-];[Sandra Silva];2015;-;-;Quetzal Editores;[Lisboa];1;95;;978-989-722-206-1;Impresso;[Romance* Literatura];Disponível para requisição;
0327/AGRABS;Incontri Libertari;[Simone Weil];[-];[Maurizio Zani];2001;-;-;elèuthera;[Milano];1;188;;9788889490679;Impresso;[Teoria política* Estado* Tecno-burocracia];Disponível para requisição;
0328/AGRABS;La Condition Ouvrière;[Simone Weil];[-];[-];2002;Collection Folio/Essais;409;Éditions Gallimard;[Paris];-;522;;978-2-07-042395-8;Impresso;[Teoria política* Classe* Trabalho];Disponível para requisição;
0329/AGRABS;A Política Sexual da Carne. Uma Teoria Feminista-Vegetariana;[Carol J. Adams];[-];[Cristina Cupertino];2018;-;-;Editora Alaúde;[São Paulo];2;384;;978-85-7881-510-3;Impresso e online (versão inglesa);[Ecofeminismo* Vegetarianismo* Especismo* Ética animal];Disponível para requisição;
0330/AGRABS;Every Twelve Seconds. Industrialized Slaughter and the Politics of Sight;[Timothy Pachirat];[-];[-];2011;Yale Agrarian Studies Series;-;Yale University Press;[New Haven and London];1;302;;978-0-300-19248-3;Impresso;[Complexo-industrial de exploração animal* Violência* Especismo* Capitalismo];Disponível para requisição;
0331/AGRABS;As Origens da Burguesia;[Régine Pernoud];[-];[F.S.];1973;Colecção SABER;5;Publicações Europa-América;[Mem Martins];2;128;;-;Impresso;[Teoria política* Burguesia* Poder];Disponível para requisição;
0332/AGRABS;Los Animales son Parte de la Clase Trabajadora y Otros Ensayos;[Jason Hribal];[-];[-];2014;-;-;ochodoscuatro ediciones;[Madrid];-;170;;978-84-697-1751-6;Impresso e online;[Direitos dos animais* Especismo* Trabalho* Complexo-industrial animal];Disponível para requisição;
0333/AGRABS;V de Veganismo;[Roberto X];[-];[-];2015;-;-;El grillo libertario y SKP;[Barcelona];-;151;;-;Impresso e online;[Veganismo* Anti-especismo];Disponível para requisição;
0334/AGRABS;Capitães de Areia;[Jorge Amado];[-];[-];2016;Colecção Essencial;5;Leya/Livros RTP;[Alfragide];-;281;;978-972-20-6035-6;Impresso;[Romance* Literatura];Disponível para requisição;
0335/AGRABS;Animal Ingredients A to Z ;[E.G. Smith Collective];[];[-];2004;-;-;AK Press;[Oakland and Edinburgh];3;99;;978-1902593814;Impresso;[Vegetarianismo* Veganismo* Consumo* Alimentação];Disponível para requisição;
0336/AGRABS;Crítica Feminista y Comunicación;[-];[Michèle José Sánchez Leyva* Alicia Reigada Olaizola];[-];2007;Colección «Contextos»/Comunicación Crítica;7;Comunicación Social Ediciones y Publicaciones;[Sevilla];1;272;;978-84-96082-39-7;Impresso;[Estudos Feministas dos Média* Género* Feminismo* Média];Disponível para requisição;
0337/AGRABS;Animal Farm;[George Orwell];[-];[-];1996;-;-;Signet Classics;[New York];-;141;;978-0-451-52634-2;Impresso;[Literatura* Ficção];Disponível para requisição;
0338/AGRABS;Marx, O Intempestivo. Grandezas e Misérias de uma Aventura Crítica (séculos XIX-XX);[Daniel Bensaïd];[-];[Vera Rodrigues];2013;-;-;Edições Combate;[Lisboa];1;459;;978-989-96052-6-8;Impresso;[Marxismo];Disponível para requisição;
0339/AGRABS;O Sangue dos Outros;[Simone de Beauvoir];[-];[Miguel Serras Pereira];2003;-;-;Dom Quixote;[Lisboa];4;322;;972-20-2403-5;Impresso;[Romance* Literatura];Disponível para requisição;
0340/AGRABS;Estado de Sítio;[Albert Camus];[-];[João Pedro de Andrade];2001;Colecção Miniatura nova série | Literatura;6;Editora Livros do Brasil;[Lisboa];1;177;;972-38-1880-9;Impresso;[Romance* Literatura];Disponível para requisição;
0341/AGRABS;Olhando o Sofrimento dos Outros;[Susan Sontag];[-];[José Lima];2015;-;-;Quetzal Editores;[Lisboa];1;125;;978-989-722-053-1;Impresso;[Romance* Literatura* Fotografia* Guerra];Disponível para requisição;
0342/AGRABS;Ao Mesmo Tempo: Ensaios e Discursos;[Susan Sontag];[-];[José Lima];2011;-;-;Quetzal Editores;[Lisboa];1;254;;978-972-564-931-2;Impresso;[Romance* Literatura];Disponível para requisição;
0343/AGRABS;Notre-Dame de Paris;[Victor Hugo];[-];[-];2002;-;-;Classiques Universels;[Paris];-;499;;2-84595-063-2;Impresso;[Romance* Literatura];Disponível para requisição;
0344/AGRABS;Death in Venice and Other Stories;[Thomas Mann];[-];[David Luke];2008;-;-;Bantam Classic;[New York];-;343;;978-0-553-21333-1;Impresso;[Romance* Literatura];Disponível para requisição;
0345/AGRABS;Bichos;[Miguel Torga];[-];[-];1995;-;-;Coimbra;[-];19;135;;972-20-1532-x;Impresso;[Contos* Literatura];Disponível para requisição;
0346/AGRABS;La Chartreuse de Parme;[Stendhal];[-];[-];2005;-;-;Éditions de la Seine;[-];-;501;;274346254X;Impresso;[Romance* Literatura];Disponível para requisição;
0347/AGRABS;Judith Teixeira. Obras Completas;[Judith Teixeira];[Martim de Gouveia e Sousa];[-];2016;-;-;Edições Esgotadas;[Viseu];1;248;;978-989-8801-42-5;Impresso;[Lírica* Literatura];Disponível para requisição;
0348/AGRABS;Pour une Morale de l'Ambiguïté;[Simone de Beauvoir];[-];[-];2013;Collection Folio/Essais;415;Éditions Gallimard;[Paris];-;316;;978-2-07-042693-5;Impresso;[Filosofia];Disponível para requisição;
0349/AGRABS;Enganar a Fome [abat-faim];[Guy Debord];[-];[Helder Moura Pereira];2000;-;-;frenesi;[Lisboa];1;s/n;;972-8351-44-5;Impresso;[Filosofia];Disponível para requisição;
0350/AGRABS;Pandemic Solidarity: Mutual Aid during the Covid-19 Crisis;[VV.AA.];[Marina Sitrin/Colectiva Sembrar];[-];2020;-;-;Pluto Press;[];1;304;1;9780745343167;Impresso;[Apoio Mútuo* Pandemia* Covid-19* Solidariedade];Disponível para requisição;
0351/AGRABS;Vernon Subutex 1;[Virginie Despentes];[-];[Noemí Sobregués];2016;-;-;Penguin Random House Grupo Editorial;[Barcelona];1;337;;978-84-397-3143-6;Impresso;[Romance* Literatura];Disponível para requisição;
0352/AGRABS;Dias Birmaneses;[George Orwell];[-];[Alda Rodrigues];2016;-;-;Relógio D'Água;[Lisboa];1;272;;978-989-641-636-2;Impresso;[Romance* Literatura* Colonialismo];Disponível para requisição;
0353/AGRABS;O Mito de Sísifo. Ensaio sobre o Absurdo;[Albert Camus];[-];[Urbano Tavares Rodrigues];2013;Obras de Albert Camus;4;Editora Livros do Brasil;[Lisboa];1;199;;978-972-38-2759-0;Impresso;[Romance* Literatura];Disponível para requisição;
0354/AGRABS;Hildur, Queen of the Elves, and Other Icelandic Legends;[J. M. Bedell];[-];[Terry Gunnell];2016;-;-;Interlink Books;[Massachusetts];1;264;;978-1-56656-633-9;Impresso;[Literatura];Disponível para requisição;
0355/AGRABS;Lobo do Mar;[Jack London];[-];[Olinda Gomes Fernandes];1967;-;-;Companhia Editora do Minho;[Barcelos];-;346;;-;Impresso;[Romance* Literatura];Disponível para requisição;
0356/AGRABS;Gay Power: An American Revolution;[David Eisenbach ];[-];[-];2006;-;-;Carroll & Graf Publishers;[New York];1;390;;978-0-78671-633-3;Impresso;[Sexualidade* Direitos gay];Disponível para requisição;
0357/AGRABS;Os Mandarins;[Simone de Beauvoir];[-];[Alexandre Neves];1976;Autores Universais;1;Livraria Bertrand;[];;424;;-;Impresso;[Romançe* Literatura];Disponível para requisição;
0358/AGRABS;Mémoires d'une jeune fille rangée;[Simone de Beauvoir];[-];[-];1958;;-;Gallimard;[Paris];1;359;;-;Impresso;[Romançe* Literatura];Disponível para requisição;
0359/AGRABS;Persuasão;[Jane Austen];[-];[Fernanda Cidrais];1818;;;Livraria Civilização;[];;326;;;Impresso;[Romançe* Literatura];Disponível para requisição;
0360/AGRABS;Esta é a minha carta ao mundo e outros poemas;[Emily Dickinson];[];[Cecília Rego Pinheiro];1997;Gato Maltês;;Assírio & Alvim;[Lisboa];;65;;972-37-0425-0;Impresso;[Poesia* Literatura];Disponível para requisição;
0361/AGRABS;Mrs Dalloway;[Virginia Woolf];[];[];2003;Wordsworth Classics;;Wordworth Editions;[Hertfordshire];;146;;978-1-85326-191-6;Impresso;[Romançe* Literatura];Disponível para requisição;
0362/AGRABS;Frankenstein;[Mary Shelley];[];[João Costa];2009;Bis;;Leya;[Alfragide];1;238;;978-989-653-019-8;Impresso;[Romance* Literatura];Disponível para requisição;
0363/AGRABS;Orlando ;[Virginia Woolf];[];[];2003;Wordsworth Classics;;Wordworth Editions;[Hertfordshire];;166;;978-1-85326-239-5;Impresso;[Romance* Literatura];Disponível para requisição;
0364/AGRABS;Agnes Grey;[Anne Brönte];[];[Rita Guerra];2007;Grandes Obras;;Europa-América;[Mem Martins];;143;;;Impresso;[Romance* Literatura];Disponível para requisição;
0365/AGRABS;Vénus Erótica;[Anaïs Nin];[];[Luiza Neto Jorge];1981;;;Círculo de Leitores;[];1;269;;;Impresso;[Romance* Literatura];Disponível para requisição;
0366/AGRABS;Les Fleurs du Mal;[Charles Baudelaire];[];[];1980;Poésie;;Gallimard;[França];;320;;;Impresso;[Poesia* Literatura];Disponível para requisição;
0367/AGRABS;L'âge de raison. Le chemins de la liberté;[Jean-Paul Sartre];[];[];2012;Folio;;Gallimard;[França];;370;;978-2-07-036870-9;Impresso;[Romance* Literatura];Disponível para requisição;
0368/AGRABS;L'enfance d'un chef;[Jean-Paul Sartre];[];[];2008;Folio;;Gallimard;[França];;130;;978-2-07-030406-6;Impresso;[Romance* Literatura];Disponível para requisição;
0369/AGRABS;The Complete stories;[Franz Kafka];[];[Willa Muir* Edwin Muir];1971;;;Schocken;[New York];;486;;;Impresso;[Contos* Literatura];Disponível para requisição;
0370/AGRABS;The Master and the Margarita;[Mikhail Bulgákov];[];[Diana Burgin* Katherine Tiernan O'Connor];1995;;;Picador;[UK];;367;;978-0-330-35134-8;Impresso;[Romance* Literatura];Disponível para requisição;
0371/AGRABS;Nadja;[André Breton];[];[];1964;;;Gallimard;[Paris];;187;;;Impresso;[Romance* Literatura];Disponível para requisição;
0372/AGRABS;La civilisation des moeurs;[Norbert Elias];[];[Pierre Kamnitzer];1973;Agora;;Calmann-Lévy;[Paris];;507;;978-2-266-13104-9;Impresso;[História* Cultura];Disponível para requisição;
0373/AGRABS;Noces/L'Été;[Albert Camus];[];[];1968;Le Livre de Poche;;Gallimard;[Paris];;190;;30-11-2154-03;Impresso;[Ensaio* filosofia];Disponível para requisição;
0374/AGRABS;Les Justes;[Albert Camus];[];[];2008;Folio Théâtre;;Gallimard;[Paris];;220;;978-2-07-033731-6;Impresso;[Teatro];Disponível para requisição;
0375/AGRABS;Refugiados;[Tras los Muros];[];[];2015;;;ochodoscuatro ediciones;[Espanha];1;52;;978-84-608-1910-3;Impresso;[Especismo* teoria ética animal];Disponível para requisição;
0376/AGRABS;"Le dernier jour d'un condamné; Claude Gueux; L'Affair Tapner";[Victor Hugo];[];[];1989;Le Classiques de Poche;;Librairie Générale Française;[França];1;284;;978-2-253-05006-3;Impresso;[Romance* Literatura];Disponível para requisição;
0377/AGRABS;Eugénia Grandet;[Honoré de Balzac];[];[João Grave];1994;História da Literatura;;RBA Editores;[Lisboa];;188;;972-747-106-4;Impresso;[Romance* Literatura];Disponível para requisição;
0378/AGRABS;A Valsa do Adeus;[Milan Kundera];[];[Miguel Serras Pereira];2015;Bis;;Leya;[Alfragide];;239;;978-989-660-356-4;Impresso;[Romance* Literatura];Disponível para requisição;
0379/AGRABS;L'Ignorance;[Milan Kundera];[];[];2005;Folio;;Gallimard;[França];;237;;2-07-030610-0;Impresso;[Romance* Literatura];Disponível para requisição;
0380/AGRABS;La Chute;[Albert Camus];[];[];1998;Folio;;Gallimard;[França];;153;;2-07-036010-5;Impresso;[Romance* Literatura];Disponível para requisição;
0381/AGRABS;Le Mythe de Sisyphe;[Albert Camus];[];[];2013;Folio Essais;;Gallimard;[França];;169;;978-2-07-032288-6;Impresso;[Ensaio* filosofia];Disponível para requisição;
0382/AGRABS;La Malentendu;[Albert Camus];[];[];2015;Folio Théâtre;;Gallimard;[França];;161;;978-2-07-038872-1;Impresso;[Teatro];Disponível para requisição;
0383/AGRABS;Red Rosa;[Kate Evans];[];[];2015;;;Verso Books;[Estados Unidos da América];;220;;978-1-78478-099-9;Impresso;[Novela gráfica* Banda desenhada, Biografia];Disponível para requisição;
0384/AGRABS;La carne y la metáfora: Una reflexión sobre el cuerpo en la teoría queer;[Gerard Coll-Planas];[];[];2012;;;Editorial Egales;[Barcelona* Madrid];;108;;978-84-15574-90-3;Impresso;[Ensaio* Teoria queer];Disponível para requisição;
0385/AGRABS;American gay;[Stephen O. Murray];[];[];1996;;;The University of Chicago Press;[Estados Unidos da América];1;337;;0-226-55193-8;Impresso;[Ensaio* História LGBT];Disponível para requisição;
0386/AGRABS;Fun home: Uma tragicomédia familiar;[Alison Bechdel];[];[Duarte Sousa Tavares];2012;;;Contraponto;[Lisboa];1;237;;978-989-666-084-0;Impresso;[Novela gráfica* Banda desenhada* auto-biografia];Disponível para requisição;
0387/AGRABS;O Livro dos Amores Risíveis ;[Milan Kundera];[];[Luísa Feijó* Maria João Delgado];1994;Bis;;Leya;[Alfragide];;255;;978-989-660-342-7;Impresso;[Romance* Literatura];Disponível para requisição;
0388/AGRABS;1984;[George Orwell];[];[Alexandre Hubner* Heloisa Jahn];2009;;;Companhia das Letras;[São Paulo];1;414;;978-85-359-1484-9;Impresso;[Romance* Literatura];Disponível para requisição;
0389/AGRABS;Natura Infranta;[Massimo Filippi];[];[];;;;Ortica Editrice;[Aprilia];;30;;978-88-97011-32-3;Impresso;[Ensaio, teoria etica animal];Disponível para requisição;
0390/AGRABS;As Gavetas do mundo;[Ana Luísa Abreu* Mafalda Araújo* Fran Junqueira];[];[];2018;;;Edições Simplesmente;[Lisboa];1;;;978-989-99185-7-3;Impresso;[Livro ilustrado* literatura para a infância* questões de género];Disponível para requisição;
0391/AGRABS;Tras Prisiones y traslados;[Nadezhda Iákovlevna Derkach];[];[];2016;;;Diaclasa;[Barcelona];;173;;;Impresso;[Autobiografia* Revolução Russa];Disponível para requisição;
0392/AGRABS;"El Deseo homosexual; Terror anal";[Guy Hocquenghem* Beatriz Preciado];[];[Geoffroy Huard de la Marre];2019;;;Editorial Melusina;[Espanha];1;175;;978-84-96614-51-2;Impresso;[Teoria queer* História LGBT+];Disponível para requisição;
0393/AGRABS;The Lesbian Body;[Monique Wittig];[];[David Le Vay];1975;;;William Morrow Company, Inc;[New York];;165;;0-688-02900-0;Impresso;[Lesbianismo];Disponível para requisição;
0394/AGRABS;The Politics of Gay Rights;[-];[Craig A. Rimmerman* Kenneth D. Wald* Clyde Wilcox];[-];2000;;;The University of Chicago Press;[Chicago and London];1;460;;0-226-71999-5;Impresso;[LGBT* Sexualidades* Gay Politics];Disponível para requisição;
0395/AGRABS;História da sexualidade I: A vontade de saber;[Michel Foucault];[-];[Pedro Tamen];1994;Antropos;1;Relógio D'Água;[Lisboa];-;161;;972-708-240-8;Impresso;[Sexualidades* História];Disponível para requisição;
0396/AGRABS;História da sexualidade II: O uso dos prazeres;[Michel Foucault];[-];[Pedro Tamen];1994;Antropos;2;Relógio D'Água;[Lisboa];-;292;;972-708-241-6;Impresso;[Sexualidades* História];Disponível para requisição;
0397/AGRABS;História da sexualidade III: O cuidado de si;[Michel Foucault];[-];[Manuel Alberto];1994;Antropos;3;Relógio D'Água;[Lisboa];-;280;;972-708-242-4;Impresso;[Sexualidades* História];Disponível para requisição;
0398/AGRABS;Rara Avis: Una teoría queer impolítica;[Daniel J. García];[-];[-];2016;UHF;-;Editorial Melusina;[Estado espanhol];1;220;;978-84-15373-36-0;Impresso;[Queer* Filosofia* Sexualidades];Disponível para requisição;
0399/AGRABS;Testo Yonqui;[Beatriz Preciado];[-];[-];2008;-;-;Editorial Espasa Calpe;[Madrid];-;324;;978-84-670-2693-1;Impresso;[Género* Sexualidades* LGBT* Corpo* Pornopoder];Disponível para requisição;
0400/AGRABS;Over the Rainbow: Lesbian and Gay Politics in America since Stonewall;[-];[David Deitcher];[-];1995;-;4;Boxtree ;[London];1;237;;0-7522-0580-3;Impresso;[Gay Politics* LGBT* Sexualidades];Disponível para requisição;
0401/AGRABS;The Queer Sixties;[-];[Patricia Juliana Smith];[-];1999;-;-;Routledge;[New York and London];1;272;;0-415-92169-4;Impresso;[Queer* Filosofia* Sexualidades];Disponível para requisição;
0402/AGRABS;The Global Emergence of Gay and Lesbian Politics: National Imprints of a Worldwide Movement;[-];[Barry D. Adam* Jan Willem Duyvendak* André Krouwel];[-];1999;-;-;Temple University Press;[Philadelphia];1;381;;1-56639-645-x;Impresso;[LGBT* Sexualidades* Movimentos sociais];Disponível para requisição;
0403/AGRABS;The Gay Metropolis 1940-1996;[Charles Kaiser];[-];[-];1997;-;-;Phoenix;[London];-;404;;0-75380-662-2;Impresso;[Gay* Cidade* História* Memória];Disponível para requisição;
0404/AGRABS;Pornoterrorismo;[Diana J. Torres];[-];[-];2015;-;-;Txalaparta;[Tafalla];3;211;;978-84-8136-609-9;Impresso;[Pós-pornografia* transfeminismo* pornoterrorismo];Disponível para requisição;
0405/AGRABS;Manifiesto contra-sexual;[Beatriz Preciado];[-];[Julio Díaz* Carolina Meloni];2002;Pensamiento;-;Editorial Opera Prima;[Madrid];1;175;;84-95461-14-5;Impresso;[Contra-sexualidade* Filosofia];Disponível para requisição;
0406/AGRABS;Pirati e Sodomia;[B. R. Burg];[-];[-];2017;-;-;elèuthera;[Milano];-;252;;978-88-98860-77-7;Impresso;[Sodomia* sexualidade];Disponível para requisição;
0407/AGRABS;Rayuela ;[Júlio Cortázar];[-];[-];2004;-;-;Editorial Casa de las Américas;[La Habana];-;562;;-;Impresso;[Literatura];Disponível para requisição;
0408/AGRABS;"Fuego Queer: Historia de la ""Brigada George Jackson"" y del colectivo gay anticarcelario ""Hombres contra el Sexismo"" (1975-1978)";[-];["Ed Mead* Rita ""Bo"" Brown"];[Peligrosidad social];2016;-;-;Editorial Imperdible;[-];;160;;-;Impresso e online;[Queer* Sexismo* Prisões];Disponível para requisição;
0409/AGRABS;Gender and Media: Representing, Producing, Consuming;[-];[Tonny Krijnen* Sofie Van Bauwel];[-];2015;Communication and Society;;Routledge;[London* New York];1;220;-;;Impresso;[Média* Género* Estudos Feministas dos Média* Feminismos];Disponível para requisição;
0410/AGRABS;Vamos sair desta? Guia de saúde mental para o meio social da pessoa em crise;[Javier Erro];[-];[Grupo de Saúde Anti-autoritária/G.O.S.A.];2018;-;-;Grupo de Saúde Anti-autoritária/GO.S.A.;[Lisboa];1;97;;-;Impresso;[Saúde mental* saúde anti-autoritária];Disponível para requisição;
0411/AGRABS;Egon Schiele;[Frank Whitford];[-];[-];1996;-;-;Thames and Hudson;[London];-;215;;0-500-20183-8;Impresso;[Arte];Disponível para requisição;
0412/AGRABS;Transexualidades: Otras miradas posibles;[Miquel Missé];[-];[-];2013;-;-;Editorial Egales;[Barcelona* Madrid];1;134;;978-84-15899-13-6;Impresso;[Transexualidade];Disponível para requisição;
0413/AGRABS;Contos de São Petersburgo;[Nikolai Gógol];[-];[Nina Guerra* Filipe Guerra];2007;Biblioteca Editores Independentes/BI;7;Assírio & Alvim;[Lisboa];-;285;;978-972-37-1184-4;Impresso;[Literatura];Disponível para requisição;
0414/AGRABS;maravilloso: sexo y poder;[israel granada];[-];[-];;nómadas;15;anagal;[-];-;89;;-;Impresso;[Sexualidades];Disponível para requisição;
0415/AGRABS;Worship ;[Travis Hutchison];[-];[-];2007;-;-;Tournon;[Paris];-;-;;978-2-35144-055-1;Impresso;[];Disponível para consulta;
0416/AGRABS;The Mayor of Castro Street: The Life & Times of Harvey Milk;[Randy Shilts];[-];[-];2008;-;-;St. Martin's Griffin;[New York];1;388;;978-0-312-56085-0;Impresso;[LGBT* Gay politics* Movimentos sociais];Disponível para requisição;
0417/AGRABS;La Mirada de Michonne. Guía de autodefensa feminista;[Rubén Sànchez Ruiz];[-];[Gerard Pérez];2017;-;-;Aldarull Ediciones;[Barcelona];1;117;2;978-84-944770-6-5;Impresso ;[Auto-defesa feminista* Resistência* Feminismo];Disponível para requisição;
0418/AGRABS;Otra Mirada al Sistema de Salud Mental: Una Manera de Entender el Conflicto;[Xarxa GAM* Hugo Rojo];[-];[-];2018;-;-;Editorial Descontrol;[Barcelona];1;214;;978-84-17190-36-1;Impresso;[Saúde mental* apoio mútuo];Disponível para requisição;
0419/AGRABS;Otra Mirada al Sistema de Salud Mental: Una Manera de Entender el Conflicto;[Xarxa GAM* Hugo Rojo];[-];[-];2018;-;-;Editorial Descontrol;[Barcelona];1;214;;978-84-17190-36-1;Impresso;[Saúde mental* apoio mútuo];Disponível para requisição;
0420/AGRABS;Queer: A Graphic History;[Meg-John Barker* Julia Scheele];[-];[-];2016;-;-;Icon Books;[London];1;175;;978-1-78578-071-4;Impresso;[Queer* Teoria queer* filosofia];Disponível para consulta;
0421/AGRABS;Teoría Queer: Políticas bolleras, maricas, trans, mestizas;[-];[David Córdoba* Javier Sáez* Paco Vidarte];[-];2005;-;-;Editorial Egales;[Barcelona e Madrid];1;257;;84-95346-99-0;Impresso;[Teoria queer* LGBT* Sexualidades];Disponível para requisição;
0422/AGRABS;No vamos a tragar. Soberanía alimentaria: una alternativa frente a la agroindustria;[Gustavo Duch];[-];[-];2014;El Rojo y el Negro;12;Los libros del lince;[Barcelona];1;133;;978-84-15070-40-5;Impresso;[Soberania alimentar* agro-ecologia* Alimentação];Disponível para requisição;
0423/AGRABS;A Desobediência Civil: Defesa de John Brown;[Henry David Thoreau];[-];[Manuel João Gomes];2012;-;-;Antígona;[Lisboa];3;120;;978-972-608-012-1;Impresso;[Desobediência civil];Disponível para requisição;
0424/AGRABS;Sexualidades transgresoras: Una antología de estudios queer;[-];[Rafael M. Mérida Jiménez];[-];2002;Mujeres y Culturas;11;Icaria Editorial;[Barcelona];1;262;;978-84-7426-562-0;Impresso;[Teoria queer* LGBT* Sexualidades];Disponível para requisição;
0425/AGRABS;Trabalhadores do Sexo Uni-vos!: Organização laboral na indústria do sexo;[Ana Lopes];[- ];[-];;-;-;Dom Quixote;[Lisboa];1;270;;972-20-3193-7;Impresso;[Trabalho sexual* Direitos laborais* Prostituição* Movimentos sociais];Disponível para requisição;
0426/AGRABS;Metodologia de Investigação em Ciências Sociais e Humanas: Teoria e Prática;[Clara Pereira Coutinho];[-];[-];2015;-;-;Almedina;[Lisboa];2;421;;978-972-40-5137-6;Impresso;[Ciências sociais e humanas* metodologias];Disponível para requisição;
0427/AGRABS;O Tempo da Sida;[Michel Bounan];[-];[Júlio Henriques];1993;-;-;Antígona;[Lisboa];-;156;;972-608-069-X;Impresso;[Sida];Disponível para requisição;
0428/AGRABS;pensar, experimentar la exterioridad;[-];[Grupo Surrealista de Madrid];[-];2018;-;-;La Torre Magnética;[Madrid];1;137;;9788494469695;Impresso;[exterioridade* ecologismo];Disponível para requisição;
0429/AGRABS;Mujeres bajo Sospecha: Memoria y Sexualidad 1930-1980;[-];[Raquel Osborne];[-];2012;Colección Ciencia;339;Editorial Fundamentos;[Madrid];2;419;;978-84-245-1260-6;Impresso;[Sexualidade* Género* Franquismo* História* Memória];Disponível para requisição;
0430/AGRABS;Making Gay History: The half-century fight for lesbian and gay equal rights;[Eric Marcus];[-];[-];2002;-;-;Perennial. HarperCollins Publishers;[New York];1;458;;0-06-093391-7;Impresso;[Gay Politics* História* Movimentos sociais];Disponível para requisição;
0431/AGRABS;As Intermitências da Morte;[José Saramago];[-];[-];2005;-;-;Caminho;[Lisboa];-;214;;972-21-1738-6;Impresso;[Literatura* Romance];Disponível para requisição;
0432/AGRABS;O Desabrochar da Igualdade: Lutas e conquistas das mulheres portuguesas;[VV.AA.];[Jornal-Mundus/Mariana Riquito];[-];2018;-;-;Jornal-Mundus;[-];1;61;;-;Impresso;[Mulheres* História* Memória ];Disponível para requisição;
0433/AGRABS;As Palavras do Corpo: Antologia de Poesia Erótica;[Maria Teresa Horta];[-];[-];2014;-;-;Dom Quixote;[Lisboa];2;290;;978-972-20-4903-0;Impresso;[Literatura* Poesia erótica];Disponível para requisição;
0434/AGRABS;Migraciones ambientales: Huyendo de la crisis ecológica en el siglo XXI;[Jesús M. Castillo];[-];[-];2011;-;-;Virus Editorial;[Barcelona];1;108;;978-84-92559-30-5;Impresso;[Migrações* ecologia* Migrantes ambientais];Disponível para requisição;
0435/AGRABS;Altermondialistes: Chronique d'une révolution en marche;[Loïc Abrassart* Cédric Durand* Alexandre Girod* Hervé Lequeux];[-];[-];2006;-;-;Editions Alternatives;[Paris];1;143;;2-86227-486-0;Impresso;[Altermundialismo* Movimentos sociais];Disponível para requisição;
0436/AGRABS;No Al Futuro - La Teoría Queer Y la Pulsión de Muerte;[Lee Edelman];[-];[Javier Sáez* Adriana Baschuk];2014;-;-;Editorial Egales;[Barcelona e Madrid];-;246;;978-84-15899-51-8;Impresso;[Sexualidades* Teroria Queer* ];Disponível para requisição;
0437/AGRABS;Cuerpos en Escena. Materialidad y cuerpo sexuado en Judith Butler y Paul B. Preciado;[Martín A. de Mauro Rucovsky];[-];[-];2016;;;Editorial Egales;[Barcelona e Madrid];-;209;;978-84-166491-41-4;Impresso;[Sexualidades* Corpo* Gênero* ];Disponível para requisição;
0438/AGRABS;Réflexions sur les Causes de la Liberté et de l'Oppresion Sociale;[Simone Weil];[-];[-];2013;Collection Folio/Essais;316;Éditions Gallimard;[França];-;150;;978-2-07-040442-1;Impresso;[Opressão* Luta laboral* Movimentos sociais* Filosofia];Disponível para requisição;
0439/AGRABS;Notas para uma Análise da Revolução Russa;[J. Barrot];[-];[José Pais];1972;-;-;Cadernos de Hoje;[Lisboa];-;116;;-;Impresso;[Revolução Russa* História];Disponível para requisição;
0440/AGRABS;História do Movimento Macknovista: A insurreição dos Camponeses na Ucrânia;[Piotr Archinov];[-];[-];1976;Cadernos Peninsulares/Ensaio;17;Assírio & Alvim;[Lisboa];-;284;;-;Impresso;[Movimento Macknovista* História* Lutas camponesas* Revolução Russa];Disponível para requisição;
0441/AGRABS;Princípios Fundamentais do Cooperativismo;[Maurice Colombain];[-];[Ana Maria de Sousa Pais];1972;-;-;Cooperativa Grau;[Viseu];-;198;;-;Impresso;[Cooperativismo* Movimento cooperativo];Disponível para requisição;
0442/AGRABS;A Estética;[Denis Huisman];[-];[Maria Luísa São Mamede];;Biblioteca Básica de Filosofia;13;Edições 70;[Lisboa];-;125;;-;Impresso;[Estética* Arte];Disponível para requisição;
0443/AGRABS;Amor Sin Nombre. La vida de los gays y las lesbianas en el islam;[Brian Whitaker];[-];[Ismael Attrache];2007;;-;Editorial Egales;[Barcelona e Madrid];-;235;;978-84-88052-50-6;Impresso;[Sexualidades* LGBT* Religião* Islão*];Disponível para requisição;
0444/AGRABS;Sobre a Guerra e a Paz;[Vladímir Ilitch Lenine];[-];[Rosário Simões];1975;"Colecção ""Textos Maria da Fonte""";8;Edições Maria da Fonte;[-];-;120;;-;Impresso;[Revolução Proletária* Socialismo];Disponível para requisição;
0445/AGRABS;Por el Culo. Políticas Anales;[Javier Sáez* Sejo Carrascosa];[-];[-];2011;;;Editorial Egales;[Barcelona e Madrid];3;184;;978-84-92813-35-3;Impresso;[Sexualidades* Psicanálise* ];;
0446/AGRABS;Classes, Política. Política de Classes;[VV.AA.];[-];[-];1974;Luta de classes;1;Afrontamento;[Porto];1;113;;-;Impresso;[Classe* Capitalismo* Sindicalismo* Lutas laborais];Disponível para requisição;
